Date,Open,High,Low,Close,Adj Close,Volume
9-Jan-17,2273.59,2275.49,2268.9,2268.9,2268.9,3217610000
10-Jan-17,2269.72,2279.27,2265.27,2268.9,2268.9,3638790000
11-Jan-17,2268.6,2275.32,2260.83,2275.32,2275.32,3620410000
12-Jan-17,2271.14,2271.78,2254.25,2270.44,2270.44,3462130000
13-Jan-17,2272.74,2278.68,2271.51,2274.64,2274.64,3081270000
17-Jan-17,2269.14,2272.08,2262.81,2267.89,2267.89,3584990000
18-Jan-17,2269.14,2272.01,2263.35,2271.89,2271.89,3315250000
19-Jan-17,2271.9,2274.33,2258.41,2263.69,2263.69,3165970000
20-Jan-17,2269.96,2276.96,2265.01,2271.31,2271.31,3524970000
23-Jan-17,2267.78,2271.78,2257.02,2265.2,2265.2,3152710000
24-Jan-17,2267.88,2284.63,2266.68,2280.07,2280.07,3810960000
25-Jan-17,2288.88,2299.55,2288.88,2298.37,2298.37,3846020000
26-Jan-17,2298.63,2300.99,2294.08,2296.68,2296.68,3610360000
27-Jan-17,2299.02,2299.02,2291.62,2294.69,2294.69,3135890000
30-Jan-17,2286.01,2286.01,2268.04,2280.9,2280.9,3591270000
31-Jan-17,2274.02,2279.09,2267.21,2278.87,2278.87,4087450000
1-Feb-17,2285.59,2289.14,2272.44,2279.55,2279.55,3916610000
2-Feb-17,2276.69,2283.97,2271.65,2280.85,2280.85,3807710000
3-Feb-17,2288.54,2298.31,2287.88,2297.42,2297.42,3597970000
6-Feb-17,2294.28,2296.18,2288.57,2292.56,2292.56,3109050000
7-Feb-17,2295.87,2299.4,2290.16,2293.08,2293.08,3448690000
8-Feb-17,2289.55,2295.91,2285.38,2294.67,2294.67,3609740000
9-Feb-17,2296.7,2311.08,2296.61,2307.87,2307.87,3677940000
10-Feb-17,2312.27,2319.23,2311.1,2316.1,2316.1,3475020000
13-Feb-17,2321.72,2331.58,2321.42,2328.25,2328.25,3349730000
14-Feb-17,2326.12,2337.58,2322.17,2337.58,2337.58,3520910000
15-Feb-17,2335.58,2351.3,2334.81,2349.25,2349.25,3775590000
16-Feb-17,2349.64,2351.31,2338.87,2347.22,2347.22,3672370000
17-Feb-17,2343.01,2351.16,2339.58,2351.16,2351.16,3513060000
21-Feb-17,2354.91,2366.71,2354.91,2365.38,2365.38,3579780000
22-Feb-17,2361.11,2365.13,2358.34,2362.82,2362.82,3468670000
23-Feb-17,2367.5,2368.26,2355.09,2363.81,2363.81,4015260000
24-Feb-17,2355.73,2367.34,2352.87,2367.34,2367.34,3831570000
27-Feb-17,2365.23,2371.54,2361.87,2369.75,2369.75,3582610000
28-Feb-17,2366.08,2367.79,2358.96,2363.64,2363.64,4210140000
1-Mar-17,2380.13,2400.98,2380.13,2395.96,2395.96,4345180000
2-Mar-17,2394.75,2394.75,2380.17,2381.92,2381.92,3821320000
3-Mar-17,2380.92,2383.89,2375.39,2383.12,2383.12,3555260000
6-Mar-17,2375.23,2378.8,2367.98,2375.31,2375.31,3232700000
7-Mar-17,2370.74,2375.12,2365.51,2368.39,2368.39,3518390000
8-Mar-17,2369.81,2373.09,2361.01,2362.98,2362.98,3812100000
9-Mar-17,2363.49,2369.08,2354.54,2364.87,2364.87,3716340000
10-Mar-17,2372.52,2376.86,2363.04,2372.6,2372.6,3432950000
13-Mar-17,2371.56,2374.42,2368.52,2373.47,2373.47,3133900000
14-Mar-17,2368.55,2368.55,2358.18,2365.45,2365.45,3172630000
15-Mar-17,2370.34,2390.01,2368.94,2385.26,2385.26,3906840000
16-Mar-17,2387.71,2388.1,2377.18,2381.38,2381.38,3365660000
17-Mar-17,2383.71,2385.71,2377.64,2378.25,2378.25,5178040000
20-Mar-17,2378.24,2379.55,2369.66,2373.47,2373.47,3054930000
21-Mar-17,2379.32,2381.93,2341.9,2344.02,2344.02,4265590000
22-Mar-17,2343,2351.81,2336.45,2348.45,2348.45,3572730000
23-Mar-17,2345.97,2358.92,2342.13,2345.96,2345.96,3260600000
24-Mar-17,2350.42,2356.22,2335.74,2343.98,2343.98,2975130000
27-Mar-17,2329.11,2344.9,2322.25,2341.59,2341.59,3240230000
28-Mar-17,2339.79,2363.78,2337.63,2358.57,2358.57,3367780000
29-Mar-17,2356.54,2363.36,2352.94,2361.13,2361.13,3106940000
30-Mar-17,2361.31,2370.42,2358.58,2368.06,2368.06,3158420000
31-Mar-17,2364.82,2370.35,2362.6,2362.72,2362.72,3354110000
3-Apr-17,2362.34,2365.87,2344.73,2358.84,2358.84,3416400000
4-Apr-17,2354.76,2360.53,2350.72,2360.16,2360.16,3206240000
5-Apr-17,2366.59,2378.36,2350.52,2352.95,2352.95,3770520000
6-Apr-17,2353.79,2364.16,2348.9,2357.49,2357.49,3201920000
7-Apr-17,2356.59,2363.76,2350.74,2355.54,2355.54,3053150000
10-Apr-17,2357.16,2366.37,2351.5,2357.16,2357.16,2785410000
11-Apr-17,2353.92,2355.22,2337.25,2353.78,2353.78,3117420000
12-Apr-17,2352.15,2352.72,2341.18,2344.93,2344.93,3196950000
13-Apr-17,2341.98,2348.26,2328.95,2328.95,2328.95,3143890000
17-Apr-17,2332.62,2349.14,2332.51,2349.01,2349.01,2824710000
18-Apr-17,2342.53,2348.35,2334.54,2342.19,2342.19,3269840000
19-Apr-17,2346.79,2352.63,2335.05,2338.17,2338.17,3519900000
20-Apr-17,2342.69,2361.37,2340.91,2355.84,2355.84,3647420000
21-Apr-17,2354.74,2356.18,2344.51,2348.69,2348.69,3503360000
24-Apr-17,2370.33,2376.98,2369.19,2374.15,2374.15,3690650000
25-Apr-17,2381.51,2392.48,2381.15,2388.61,2388.61,3995240000
26-Apr-17,2388.98,2398.16,2386.78,2387.45,2387.45,4105920000
27-Apr-17,2389.7,2392.1,2382.68,2388.77,2388.77,4098460000
28-Apr-17,2393.68,2393.68,2382.36,2384.2,2384.2,3718270000
1-May-17,2388.5,2394.49,2384.83,2388.33,2388.33,3199240000
2-May-17,2391.05,2392.93,2385.82,2391.17,2391.17,3813680000
3-May-17,2386.5,2389.82,2379.75,2388.13,2388.13,3893990000
4-May-17,2389.79,2391.43,2380.35,2389.52,2389.52,4362540000
5-May-17,2392.37,2399.29,2389.38,2399.29,2399.29,3540140000
8-May-17,2399.94,2401.36,2393.92,2399.38,2399.38,3429440000
9-May-17,2401.58,2403.87,2392.44,2396.92,2396.92,3653590000
10-May-17,2396.79,2399.74,2392.79,2399.63,2399.63,3643530000
11-May-17,2394.84,2395.72,2381.74,2394.44,2394.44,3727420000
12-May-17,2392.44,2392.44,2387.19,2390.9,2390.9,3305630000
15-May-17,2393.98,2404.05,2393.94,2402.32,2402.32,3473600000
16-May-17,2404.55,2405.77,2396.05,2400.67,2400.67,3420790000
17-May-17,2382.95,2384.87,2356.21,2357.03,2357.03,4163000000
18-May-17,2354.69,2375.74,2352.72,2365.72,2365.72,4319420000
19-May-17,2371.37,2389.06,2370.43,2381.73,2381.73,3825160000
22-May-17,2387.21,2395.46,2386.92,2394.02,2394.02,3172830000
23-May-17,2397.04,2400.85,2393.88,2398.42,2398.42,3213570000
24-May-17,2401.41,2405.58,2397.99,2404.39,2404.39,3389900000
25-May-17,2409.54,2418.71,2408.01,2415.07,2415.07,3535390000
26-May-17,2414.5,2416.68,2412.2,2415.82,2415.82,2805040000
30-May-17,2411.67,2415.26,2409.43,2412.91,2412.91,3203160000
31-May-17,2415.63,2415.99,2403.59,2411.8,2411.8,4516110000
1-Jun-17,2415.65,2430.06,2413.54,2430.06,2430.06,3857140000
2-Jun-17,2431.28,2440.23,2427.71,2439.07,2439.07,3461680000
5-Jun-17,2437.83,2439.55,2434.32,2436.1,2436.1,2912600000
6-Jun-17,2431.92,2436.21,2428.12,2429.33,2429.33,3357840000
7-Jun-17,2432.03,2435.28,2424.75,2433.14,2433.14,3572300000
8-Jun-17,2434.27,2439.27,2427.94,2433.79,2433.79,3728860000
9-Jun-17,2436.39,2446.2,2415.7,2431.77,2431.77,4027340000
12-Jun-17,2425.88,2430.38,2419.97,2429.39,2429.39,4027750000
13-Jun-17,2434.15,2441.49,2431.28,2440.35,2440.35,3275500000
14-Jun-17,2443.75,2443.75,2428.34,2437.92,2437.92,3555590000
15-Jun-17,2424.14,2433.95,2418.53,2432.46,2432.46,3353050000
16-Jun-17,2431.24,2433.15,2422.88,2433.15,2433.15,5284720000
19-Jun-17,2442.55,2453.82,2441.79,2453.46,2453.46,3264700000
20-Jun-17,2450.66,2450.66,2436.6,2437.03,2437.03,3416510000
21-Jun-17,2439.31,2442.23,2430.74,2435.61,2435.61,3594820000
22-Jun-17,2437.4,2441.62,2433.27,2434.5,2434.5,3468210000
23-Jun-17,2434.65,2441.4,2431.11,2438.3,2438.3,5278330000
26-Jun-17,2443.32,2450.42,2437.03,2439.07,2439.07,3238970000
27-Jun-17,2436.34,2440.15,2419.38,2419.38,2419.38,3563910000
28-Jun-17,2428.7,2442.97,2428.02,2440.69,2440.69,3500800000
29-Jun-17,2442.38,2442.73,2405.7,2419.7,2419.7,3900280000
30-Jun-17,2429.2,2432.71,2421.65,2423.41,2423.41,3361590000
3-Jul-17,2431.39,2439.17,2428.69,2429.01,2429.01,1962290000
